,state,WEBSITE,actlevel,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,season
2479,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Jul-25-2009,29,2008-09
2480,Mississippi,Mississippi Flu Surveillance and Influenza-Like Illness Reports,1,Minimal,Jul-25-2009,29,2008-09
2481,Missouri,Influenza Data & Statistical Reports ,1,Minimal,Jul-25-2009,29,2008-09
2482,Montana,Influenza: What You Need to Know,1,Minimal,Jul-25-2009,29,2008-09
2483,Nebraska,Weekly Flu Report,1,Minimal,Jul-25-2009,29,2008-09
2484,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,Jul-25-2009,29,2008-09
2485,New Hampshire,Influenza Control and Surveillance,1,Minimal,Jul-25-2009,29,2008-09
2486,New Jersey,Seasonal Influenza - Surveillance,1,Minimal,Jul-25-2009,29,2008-09
2487,New Mexico,Flu in New Mexico,1,Minimal,Jul-25-2009,29,2008-09
2488,New York,"Influenza Activity, Surveillance and Reports",1,Minimal,Jul-25-2009,29,2008-09
2489,North Carolina,North Carolina Influenza Update,1,Minimal,Jul-25-2009,29,2008-09
2490,North Dakota,Influenza,1,Minimal,Jul-25-2009,29,2008-09
2491,Ohio,Influenza Information,1,Minimal,Jul-25-2009,29,2008-09
2492,Oklahoma,Influenza Information,1,Minimal,Jul-25-2009,29,2008-09
2493,Oregon,Influenza Disease Surveillance Data,1,Minimal,Jul-25-2009,29,2008-09
2494,Pennsylvania,Influenza Weekly Report ,1,Minimal,Jul-25-2009,29,2008-09
2495,Rhode Island,Influenza Surveillance,1,Minimal,Jul-25-2009,29,2008-09
2496,South Carolina,Influenza Activity and Surveillance,1,Minimal,Jul-25-2009,29,2008-09
2497,South Dakota,Influenza Information,1,Minimal,Jul-25-2009,29,2008-09
2498,Tennessee,Influenza-Like Illness Surveillance Summary Archive,1,Minimal,Jul-25-2009,29,2008-09
2499,Texas,Influenza Surveillance,1,Minimal,Jul-25-2009,29,2008-09
2500,Utah,Seasonal Influenza Weekly Update,1,Minimal,Jul-25-2009,29,2008-09
2501,Vermont,Flu Activity,1,Minimal,Jul-25-2009,29,2008-09
2502,Virginia,Virginia Weekly Influenza Activity Report,2,Minimal,Jul-25-2009,29,2008-09
2503,Hawaii,Hawaii's Influenza Surveillance Program,7,Moderate,Jul-25-2009,29,2008-09
2504,Vermont,Flu Activity,1,Minimal,Jun-06-2009,22,2008-09
2505,Washington,Influenza Update,1,Minimal,Jun-06-2009,22,2008-09
2506,West Virginia,Current Influenza Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2507,Wisconsin,Tracking Influenza in Wisconsin,1,Minimal,Jun-06-2009,22,2008-09
2508,Wyoming,Influenza,1,Minimal,Jun-06-2009,22,2008-09
2509,California,Influenza (Flu),1,Minimal,Jun-06-2009,22,2008-09
2510,Colorado,Influenza Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2511,Connecticut,Flu Statistics,1,Minimal,Jun-06-2009,22,2008-09
2512,Delaware,Weekly Influenza Surveillance Reports,1,Minimal,Jun-06-2009,22,2008-09
2513,Florida,Weekly Influenza Surveillance Reports,1,Minimal,Jun-06-2009,22,2008-09
2514,Georgia,Weekly Influenza Surveillance in Georgia,1,Minimal,Jun-06-2009,22,2008-09
2515,Indiana,Influenza in Indiana,1,Minimal,Jun-06-2009,22,2008-09
2516,Iowa,Iowa Influenza Surveillance Network,1,Minimal,Jun-06-2009,22,2008-09
2517,Kansas,Influenza Information,1,Minimal,Jun-06-2009,22,2008-09
2518,Kentucky,Influenza - Flu,1,Minimal,Jun-06-2009,22,2008-09
2519,Louisiana,Influenza,1,Minimal,Jun-06-2009,22,2008-09
2520,Maine,Weekly Surveillance Updates,1,Minimal,Jun-06-2009,22,2008-09
2521,Maryland,Influenza Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2522,Michigan,Influenza Activity and Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2523,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Jun-06-2009,22,2008-09
2524,Mississippi,Mississippi Flu Surveillance and Influenza-Like Illness Reports,1,Minimal,Jun-06-2009,22,2008-09
2525,Missouri,Influenza Data & Statistical Reports ,1,Minimal,Jun-06-2009,22,2008-09
2526,Montana,Influenza: What You Need to Know,1,Minimal,Jun-06-2009,22,2008-09
2527,Nebraska,Weekly Flu Report,1,Minimal,Jun-06-2009,22,2008-09
2528,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,Jun-06-2009,22,2008-09
2529,New Hampshire,Influenza Control and Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2530,New Jersey,Seasonal Influenza - Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2531,New Mexico,Flu in New Mexico,1,Minimal,Jun-06-2009,22,2008-09
2532,New York,"Influenza Activity, Surveillance and Reports",1,Minimal,Jun-06-2009,22,2008-09
2533,North Carolina,North Carolina Influenza Update,1,Minimal,Jun-06-2009,22,2008-09
2534,Ohio,Influenza Information,1,Minimal,Jun-06-2009,22,2008-09
2535,Oklahoma,Influenza Information,1,Minimal,Jun-06-2009,22,2008-09
2536,Oregon,Influenza Disease Surveillance Data,1,Minimal,Jun-06-2009,22,2008-09
2537,Pennsylvania,Influenza Weekly Report ,1,Minimal,Jun-06-2009,22,2008-09
2538,Rhode Island,Influenza Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2539,South Carolina,Influenza Activity and Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2540,South Dakota,Influenza Information,1,Minimal,Jun-06-2009,22,2008-09
2541,Tennessee,Influenza-Like Illness Surveillance Summary Archive,1,Minimal,Jun-06-2009,22,2008-09
2542,Texas,Influenza Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2543,Alabama,Influenza Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2544,Alaska,Influenza Surveillance Report,1,Minimal,Jun-06-2009,22,2008-09
2545,Arizona,Influenza & RSV Surveillance,1,Minimal,Jun-06-2009,22,2008-09
2546,Idaho,Influenza,2,Minimal,Jun-06-2009,22,2008-09
2547,Illinois,Seasonal Influenza Surveillance Reports,3,Minimal,Jun-06-2009,22,2008-09
2548,Virginia,Virginia Weekly Influenza Activity Report,3,Minimal,Jun-06-2009,22,2008-09
2549,Hawaii,Hawaii's Influenza Surveillance Program,3,Minimal,Jun-06-2009,22,2008-09
2550,North Dakota,Influenza,4,Low,Jun-06-2009,22,2008-09
2551,Massachusetts,Influenza Surveillance Data,5,Low,Jun-06-2009,22,2008-09
2552,New York City,Surveillance Data,10,High,Jun-06-2009,22,2008-09
2553,Utah,Seasonal Influenza Weekly Update,10,High,Jun-06-2009,22,2008-09
2554,Washington,Influenza Update,1,Minimal,Jun-13-2009,23,2008-09
2555,West Virginia,Current Influenza Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2556,Wisconsin,Tracking Influenza in Wisconsin,1,Minimal,Jun-13-2009,23,2008-09
2557,Wyoming,Influenza,1,Minimal,Jun-13-2009,23,2008-09
2558,California,Influenza (Flu),1,Minimal,Jun-13-2009,23,2008-09
2559,Colorado,Influenza Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2560,Idaho,Influenza,1,Minimal,Jun-13-2009,23,2008-09
2561,New Mexico,Flu in New Mexico,1,Minimal,Jun-13-2009,23,2008-09
2562,Vermont,Flu Activity,1,Minimal,Jun-13-2009,23,2008-09
2563,North Carolina,North Carolina Influenza Update,1,Minimal,Jun-13-2009,23,2008-09
2564,North Dakota,Influenza,1,Minimal,Jun-13-2009,23,2008-09
2565,Ohio,Influenza Information,1,Minimal,Jun-13-2009,23,2008-09
2566,Oklahoma,Influenza Information,1,Minimal,Jun-13-2009,23,2008-09
2567,Oregon,Influenza Disease Surveillance Data,1,Minimal,Jun-13-2009,23,2008-09
2568,Pennsylvania,Influenza Weekly Report ,1,Minimal,Jun-13-2009,23,2008-09
2569,Rhode Island,Influenza Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2570,South Carolina,Influenza Activity and Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2571,South Dakota,Influenza Information,1,Minimal,Jun-13-2009,23,2008-09
2572,Tennessee,Influenza-Like Illness Surveillance Summary Archive,1,Minimal,Jun-13-2009,23,2008-09
2573,Texas,Influenza Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2574,Delaware,Weekly Influenza Surveillance Reports,1,Minimal,Jun-13-2009,23,2008-09
2575,Florida,Weekly Influenza Surveillance Reports,1,Minimal,Jun-13-2009,23,2008-09
2576,Georgia,Weekly Influenza Surveillance in Georgia,1,Minimal,Jun-13-2009,23,2008-09
2577,Alabama,Influenza Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2578,Alaska,Influenza Surveillance Report,1,Minimal,Jun-13-2009,23,2008-09
2579,Arizona,Influenza & RSV Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2580,Indiana,Influenza in Indiana,1,Minimal,Jun-13-2009,23,2008-09
2581,Iowa,Iowa Influenza Surveillance Network,1,Minimal,Jun-13-2009,23,2008-09
2582,Kansas,Influenza Information,1,Minimal,Jun-13-2009,23,2008-09
2583,Kentucky,Influenza - Flu,1,Minimal,Jun-13-2009,23,2008-09
2584,Louisiana,Influenza,1,Minimal,Jun-13-2009,23,2008-09
2585,Maine,Weekly Surveillance Updates,1,Minimal,Jun-13-2009,23,2008-09
2586,Maryland,Influenza Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2587,Michigan,Influenza Activity and Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2588,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Jun-13-2009,23,2008-09
2589,Mississippi,Mississippi Flu Surveillance and Influenza-Like Illness Reports,1,Minimal,Jun-13-2009,23,2008-09
2590,Missouri,Influenza Data & Statistical Reports ,1,Minimal,Jun-13-2009,23,2008-09
2591,Montana,Influenza: What You Need to Know,1,Minimal,Jun-13-2009,23,2008-09
2592,Nebraska,Weekly Flu Report,1,Minimal,Jun-13-2009,23,2008-09
2593,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,Jun-13-2009,23,2008-09
2594,New Hampshire,Influenza Control and Surveillance,1,Minimal,Jun-13-2009,23,2008-09
2595,Hawaii,Hawaii's Influenza Surveillance Program,2,Minimal,Jun-13-2009,23,2008-09
2596,Illinois,Seasonal Influenza Surveillance Reports,2,Minimal,Jun-13-2009,23,2008-09
2597,Massachusetts,Influenza Surveillance Data,4,Low,Jun-13-2009,23,2008-09
2598,Virginia,Virginia Weekly Influenza Activity Report,4,Low,Jun-13-2009,23,2008-09
2599,New York,"Influenza Activity, Surveillance and Reports",4,Low,Jun-13-2009,23,2008-09
2600,New Jersey,Seasonal Influenza - Surveillance,9,High,Jun-13-2009,23,2008-09
2601,Utah,Seasonal Influenza Weekly Update,10,High,Jun-13-2009,23,2008-09
2602,New York City,Surveillance Data,10,High,Jun-13-2009,23,2008-09
2603,Idaho,Influenza,1,Minimal,Jun-20-2009,24,2008-09
2604,Illinois,Seasonal Influenza Surveillance Reports,1,Minimal,Jun-20-2009,24,2008-09
2605,Indiana,Influenza in Indiana,1,Minimal,Jun-20-2009,24,2008-09
2606,Iowa,Iowa Influenza Surveillance Network,1,Minimal,Jun-20-2009,24,2008-09
2607,Kansas,Influenza Information,1,Minimal,Jun-20-2009,24,2008-09
2608,Kentucky,Influenza - Flu,1,Minimal,Jun-20-2009,24,2008-09
2609,Louisiana,Influenza,1,Minimal,Jun-20-2009,24,2008-09
2610,Maine,Weekly Surveillance Updates,1,Minimal,Jun-20-2009,24,2008-09
2611,Michigan,Influenza Activity and Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2612,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Jun-20-2009,24,2008-09
2613,Mississippi,Mississippi Flu Surveillance and Influenza-Like Illness Reports,1,Minimal,Jun-20-2009,24,2008-09
2614,Missouri,Influenza Data & Statistical Reports ,1,Minimal,Jun-20-2009,24,2008-09
2615,Montana,Influenza: What You Need to Know,1,Minimal,Jun-20-2009,24,2008-09
2616,Nebraska,Weekly Flu Report,1,Minimal,Jun-20-2009,24,2008-09
2617,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,Jun-20-2009,24,2008-09
2618,New Hampshire,Influenza Control and Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2619,North Carolina,North Carolina Influenza Update,1,Minimal,Jun-20-2009,24,2008-09
2620,North Dakota,Influenza,1,Minimal,Jun-20-2009,24,2008-09
2621,Ohio,Influenza Information,1,Minimal,Jun-20-2009,24,2008-09
2622,Oklahoma,Influenza Information,1,Minimal,Jun-20-2009,24,2008-09
2623,Oregon,Influenza Disease Surveillance Data,1,Minimal,Jun-20-2009,24,2008-09
2624,Pennsylvania,Influenza Weekly Report ,1,Minimal,Jun-20-2009,24,2008-09
2625,Rhode Island,Influenza Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2626,South Carolina,Influenza Activity and Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2627,South Dakota,Influenza Information,1,Minimal,Jun-20-2009,24,2008-09
2628,Tennessee,Influenza-Like Illness Surveillance Summary Archive,1,Minimal,Jun-20-2009,24,2008-09
2629,Texas,Influenza Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2630,New Mexico,Flu in New Mexico,1,Minimal,Jun-20-2009,24,2008-09
2631,Vermont,Flu Activity,1,Minimal,Jun-20-2009,24,2008-09
2632,Washington,Influenza Update,1,Minimal,Jun-20-2009,24,2008-09
2633,West Virginia,Current Influenza Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2634,Wyoming,Influenza,1,Minimal,Jun-20-2009,24,2008-09
2635,California,Influenza (Flu),1,Minimal,Jun-20-2009,24,2008-09
2636,Colorado,Influenza Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2637,Delaware,Weekly Influenza Surveillance Reports,1,Minimal,Jun-20-2009,24,2008-09
2638,Florida,Weekly Influenza Surveillance Reports,1,Minimal,Jun-20-2009,24,2008-09
2639,Georgia,Weekly Influenza Surveillance in Georgia,1,Minimal,Jun-20-2009,24,2008-09
2640,Alabama,Influenza Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2641,Alaska,Influenza Surveillance Report,1,Minimal,Jun-20-2009,24,2008-09
2642,Arizona,Influenza & RSV Surveillance,1,Minimal,Jun-20-2009,24,2008-09
2643,Connecticut,Flu Statistics,2,Minimal,Jun-20-2009,24,2008-09
2644,Wisconsin,Tracking Influenza in Wisconsin,2,Minimal,Jun-20-2009,24,2008-09
2645,Hawaii,Hawaii's Influenza Surveillance Program,4,Low,Jun-20-2009,24,2008-09
2646,Maryland,Influenza Surveillance,4,Low,Jun-20-2009,24,2008-09
2647,Massachusetts,Influenza Surveillance Data,4,Low,Jun-20-2009,24,2008-09
2648,Virginia,Virginia Weekly Influenza Activity Report,6,Moderate,Jun-20-2009,24,2008-09
2649,New York,"Influenza Activity, Surveillance and Reports",6,Moderate,Jun-20-2009,24,2008-09
2650,New York City,Surveillance Data,10,High,Jun-20-2009,24,2008-09
2651,Utah,Seasonal Influenza Weekly Update,10,High,Jun-20-2009,24,2008-09
2652,New Jersey,Seasonal Influenza - Surveillance,10,High,Jun-20-2009,24,2008-09
2653,Washington,Influenza Update,1,Minimal,Jun-27-2009,25,2008-09
2654,West Virginia,Current Influenza Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2655,Wisconsin,Tracking Influenza in Wisconsin,1,Minimal,Jun-27-2009,25,2008-09
2656,Wyoming,Influenza,1,Minimal,Jun-27-2009,25,2008-09
2657,Alabama,Influenza Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2658,Alaska,Influenza Surveillance Report,1,Minimal,Jun-27-2009,25,2008-09
2659,Arizona,Influenza & RSV Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2660,New Mexico,Flu in New Mexico,1,Minimal,Jun-27-2009,25,2008-09
2661,Vermont,Flu Activity,1,Minimal,Jun-27-2009,25,2008-09
2662,California,Influenza (Flu),1,Minimal,Jun-27-2009,25,2008-09
2663,Colorado,Influenza Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2664,Connecticut,Flu Statistics,1,Minimal,Jun-27-2009,25,2008-09
2665,Delaware,Weekly Influenza Surveillance Reports,1,Minimal,Jun-27-2009,25,2008-09
2666,Florida,Weekly Influenza Surveillance Reports,1,Minimal,Jun-27-2009,25,2008-09
2667,North Carolina,North Carolina Influenza Update,1,Minimal,Jun-27-2009,25,2008-09
2668,North Dakota,Influenza,1,Minimal,Jun-27-2009,25,2008-09
2669,Ohio,Influenza Information,1,Minimal,Jun-27-2009,25,2008-09
2670,Oklahoma,Influenza Information,1,Minimal,Jun-27-2009,25,2008-09
2671,Oregon,Influenza Disease Surveillance Data,1,Minimal,Jun-27-2009,25,2008-09
2672,Pennsylvania,Influenza Weekly Report ,1,Minimal,Jun-27-2009,25,2008-09
2673,Rhode Island,Influenza Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2674,South Carolina,Influenza Activity and Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2675,South Dakota,Influenza Information,1,Minimal,Jun-27-2009,25,2008-09
2676,Tennessee,Influenza-Like Illness Surveillance Summary Archive,1,Minimal,Jun-27-2009,25,2008-09
2677,Texas,Influenza Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2678,Idaho,Influenza,1,Minimal,Jun-27-2009,25,2008-09
2679,Illinois,Seasonal Influenza Surveillance Reports,1,Minimal,Jun-27-2009,25,2008-09
2680,Indiana,Influenza in Indiana,1,Minimal,Jun-27-2009,25,2008-09
2681,Iowa,Iowa Influenza Surveillance Network,1,Minimal,Jun-27-2009,25,2008-09
2682,Kansas,Influenza Information,1,Minimal,Jun-27-2009,25,2008-09
2683,Kentucky,Influenza - Flu,1,Minimal,Jun-27-2009,25,2008-09
2684,Louisiana,Influenza,1,Minimal,Jun-27-2009,25,2008-09
2685,Maine,Weekly Surveillance Updates,1,Minimal,Jun-27-2009,25,2008-09
2686,Maryland,Influenza Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2687,Massachusetts,Influenza Surveillance Data,1,Minimal,Jun-27-2009,25,2008-09
2688,Michigan,Influenza Activity and Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2689,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Jun-27-2009,25,2008-09
2690,Mississippi,Mississippi Flu Surveillance and Influenza-Like Illness Reports,1,Minimal,Jun-27-2009,25,2008-09
2691,Missouri,Influenza Data & Statistical Reports ,1,Minimal,Jun-27-2009,25,2008-09
2692,Montana,Influenza: What You Need to Know,1,Minimal,Jun-27-2009,25,2008-09
2693,Nebraska,Weekly Flu Report,1,Minimal,Jun-27-2009,25,2008-09
2694,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Minimal,Jun-27-2009,25,2008-09
2695,New Hampshire,Influenza Control and Surveillance,1,Minimal,Jun-27-2009,25,2008-09
2696,Georgia,Weekly Influenza Surveillance in Georgia,2,Minimal,Jun-27-2009,25,2008-09
2697,New York,"Influenza Activity, Surveillance and Reports",4,Low,Jun-27-2009,25,2008-09
2698,Hawaii,Hawaii's Influenza Surveillance Program,5,Low,Jun-27-2009,25,2008-09
2699,Virginia,Virginia Weekly Influenza Activity Report,5,Low,Jun-27-2009,25,2008-09
2700,New York City,Surveillance Data,5,Low,Jun-27-2009,25,2008-09
2701,Utah,Seasonal Influenza Weekly Update,10,High,Jun-27-2009,25,2008-09
2702,New Jersey,Seasonal Influenza - Surveillance,10,High,Jun-27-2009,25,2008-09
2703,Vermont,Flu Activity,1,Minimal,Mar-07-2009,9,2008-09
2704,West Virginia,Current Influenza Surveillance,1,Minimal,Mar-07-2009,9,2008-09
2705,Wyoming,Influenza,1,Minimal,Mar-07-2009,9,2008-09
2706,Alaska,Influenza Surveillance Report,1,Minimal,Mar-07-2009,9,2008-09
2707,Arizona,Influenza & RSV Surveillance,1,Minimal,Mar-07-2009,9,2008-09
2708,Florida,Weekly Influenza Surveillance Reports,1,Minimal,Mar-07-2009,9,2008-09
2709,Hawaii,Hawaii's Influenza Surveillance Program,1,Minimal,Mar-07-2009,9,2008-09
2710,Idaho,Influenza,1,Minimal,Mar-07-2009,9,2008-09
2711,Massachusetts,Influenza Surveillance Data,1,Minimal,Mar-07-2009,9,2008-09
2712,Michigan,Influenza Activity and Surveillance,1,Minimal,Mar-07-2009,9,2008-09
2713,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Mar-07-2009,9,2008-09
2714,Montana,Influenza: What You Need to Know,1,Minimal,Mar-07-2009,9,2008-09
2715,Nebraska,Weekly Flu Report,1,Minimal,Mar-07-2009,9,2008-09
2716,New Hampshire,Influenza Control and Surveillance,1,Minimal,Mar-07-2009,9,2008-09
2717,Ohio,Influenza Information,1,Minimal,Mar-07-2009,9,2008-09
2718,California,Influenza (Flu),2,Minimal,Mar-07-2009,9,2008-09
2719,Colorado,Influenza Surveillance,2,Minimal,Mar-07-2009,9,2008-09
2720,Connecticut,Flu Statistics,2,Minimal,Mar-07-2009,9,2008-09
2721,Delaware,Weekly Influenza Surveillance Reports,2,Minimal,Mar-07-2009,9,2008-09
2722,Rhode Island,Influenza Surveillance,2,Minimal,Mar-07-2009,9,2008-09
2723,Tennessee,Influenza-Like Illness Surveillance Summary Archive,2,Minimal,Mar-07-2009,9,2008-09
2724,Utah,Seasonal Influenza Weekly Update,3,Minimal,Mar-07-2009,9,2008-09
2725,Washington,Influenza Update,3,Minimal,Mar-07-2009,9,2008-09
2726,New York City,Surveillance Data,3,Minimal,Mar-07-2009,9,2008-09
2727,Missouri,Influenza Data & Statistical Reports ,3,Minimal,Mar-07-2009,9,2008-09
2728,South Dakota,Influenza Information,3,Minimal,Mar-07-2009,9,2008-09
2729,North Carolina,North Carolina Influenza Update,3,Minimal,Mar-07-2009,9,2008-09
2730,Louisiana,Influenza,3,Minimal,Mar-07-2009,9,2008-09
2731,Iowa,Iowa Influenza Surveillance Network,3,Minimal,Mar-07-2009,9,2008-09
2732,Arkansas,Communicable Disease and Immunizations,4,Low,Mar-07-2009,9,2008-09
2733,Maine,Weekly Surveillance Updates,4,Low,Mar-07-2009,9,2008-09
2734,New Mexico,Flu in New Mexico,4,Low,Mar-07-2009,9,2008-09
2735,Texas,Influenza Surveillance,5,Low,Mar-07-2009,9,2008-09
2736,New Jersey,Seasonal Influenza - Surveillance,5,Low,Mar-07-2009,9,2008-09
2737,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",5,Low,Mar-07-2009,9,2008-09
2738,Oklahoma,Influenza Information,5,Low,Mar-07-2009,9,2008-09
2739,Indiana,Influenza in Indiana,5,Low,Mar-07-2009,9,2008-09
2740,Kentucky,Influenza - Flu,5,Low,Mar-07-2009,9,2008-09
2741,Alabama,Influenza Surveillance,5,Low,Mar-07-2009,9,2008-09
2742,Kansas,Influenza Information,6,Moderate,Mar-07-2009,9,2008-09
2743,Illinois,Seasonal Influenza Surveillance Reports,6,Moderate,Mar-07-2009,9,2008-09
2744,South Carolina,Influenza Activity and Surveillance,6,Moderate,Mar-07-2009,9,2008-09
2745,New York,"Influenza Activity, Surveillance and Reports",6,Moderate,Mar-07-2009,9,2008-09
2746,Wisconsin,Tracking Influenza in Wisconsin,7,Moderate,Mar-07-2009,9,2008-09
2747,North Dakota,Influenza,7,Moderate,Mar-07-2009,9,2008-09
2748,Oregon,Influenza Disease Surveillance Data,7,Moderate,Mar-07-2009,9,2008-09
2749,Georgia,Weekly Influenza Surveillance in Georgia,8,High,Mar-07-2009,9,2008-09
2750,Virginia,Virginia Weekly Influenza Activity Report,9,High,Mar-07-2009,9,2008-09
2751,Maryland,Influenza Surveillance,9,High,Mar-07-2009,9,2008-09
2752,Pennsylvania,Influenza Weekly Report ,9,High,Mar-07-2009,9,2008-09
2753,Mississippi,Mississippi Flu Surveillance and Influenza-Like Illness Reports,10,High,Mar-07-2009,9,2008-09
2754,West Virginia,Current Influenza Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2755,New Hampshire,Influenza Control and Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2756,North Carolina,North Carolina Influenza Update,1,Minimal,Mar-14-2009,10,2008-09
2757,Ohio,Influenza Information,1,Minimal,Mar-14-2009,10,2008-09
2758,Oklahoma,Influenza Information,1,Minimal,Mar-14-2009,10,2008-09
2759,Rhode Island,Influenza Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2760,Tennessee,Influenza-Like Illness Surveillance Summary Archive,1,Minimal,Mar-14-2009,10,2008-09
2761,Texas,Influenza Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2762,Vermont,Flu Activity,1,Minimal,Mar-14-2009,10,2008-09
2763,Alaska,Influenza Surveillance Report,1,Minimal,Mar-14-2009,10,2008-09
2764,Arizona,Influenza & RSV Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2765,California,Influenza (Flu),1,Minimal,Mar-14-2009,10,2008-09
2766,Colorado,Influenza Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2767,Connecticut,Flu Statistics,1,Minimal,Mar-14-2009,10,2008-09
2768,Delaware,Weekly Influenza Surveillance Reports,1,Minimal,Mar-14-2009,10,2008-09
2769,Florida,Weekly Influenza Surveillance Reports,1,Minimal,Mar-14-2009,10,2008-09
2770,Hawaii,Hawaii's Influenza Surveillance Program,1,Minimal,Mar-14-2009,10,2008-09
2771,Iowa,Iowa Influenza Surveillance Network,1,Minimal,Mar-14-2009,10,2008-09
2772,Kansas,Influenza Information,1,Minimal,Mar-14-2009,10,2008-09
2773,Louisiana,Influenza,1,Minimal,Mar-14-2009,10,2008-09
2774,Maine,Weekly Surveillance Updates,1,Minimal,Mar-14-2009,10,2008-09
2775,Massachusetts,Influenza Surveillance Data,1,Minimal,Mar-14-2009,10,2008-09
2776,Michigan,Influenza Activity and Surveillance,1,Minimal,Mar-14-2009,10,2008-09
2777,Minnesota,Weekly Influenza Activity: Statistics,1,Minimal,Mar-14-2009,10,2008-09
2778,Missouri,Influenza Data & Statistical Reports ,1,Minimal,Mar-14-2009,10,2008-09
2779,Montana,Influenza: What You Need to Know,1,Minimal,Mar-14-2009,10,2008-09
2780,Nebraska,Weekly Flu Report,1,Minimal,Mar-14-2009,10,2008-09
2781,Kentucky,Influenza - Flu,2,Minimal,Mar-14-2009,10,2008-09
2782,Indiana,Influenza in Indiana,2,Minimal,Mar-14-2009,10,2008-09
2783,Pennsylvania,Influenza Weekly Report ,2,Minimal,Mar-14-2009,10,2008-09
2784,New Mexico,Flu in New Mexico,2,Minimal,Mar-14-2009,10,2008-09
2785,Utah,Seasonal Influenza Weekly Update,3,Minimal,Mar-14-2009,10,2008-09
2786,New York City,Surveillance Data,3,Minimal,Mar-14-2009,10,2008-09
2787,Arkansas,Communicable Disease and Immunizations,3,Minimal,Mar-14-2009,10,2008-09
2788,Alabama,Influenza Surveillance,3,Minimal,Mar-14-2009,10,2008-09
2789,Idaho,Influenza,4,Low,Mar-14-2009,10,2008-09
2790,Nevada,"Influenza (Flu): Surveillance, News Releases and Brochures",4,Low,Mar-14-2009,10,2008-09
2791,New Jersey,Seasonal Influenza - Surveillance,4,Low,Mar-14-2009,10,2008-09
2792,South Carolina,Influenza Activity and Surveillance,5,Low,Mar-14-2009,10,2008-09
2793,South Dakota,Influenza Information,5,Low,Mar-14-2009,10,2008-09
2794,Washington,Influenza Update,5,Low,Mar-14-2009,10,2008-09
2795,Illinois,Seasonal Influenza Surveillance Reports,5,Low,Mar-14-2009,10,2008-09
2796,Georgia,Weekly Influenza Surveillance in Georgia,6,Moderate,Mar-14-2009,10,2008-09
